Id,gender,age,status,income,visitNo,method,timeSpend,location,membershipCard,itemPurchaseCoffee,itempurchaseCold,itemPurchasePastries,itemPurchaseJuices,itemPurchaseSandwiches,itemPurchaseOthers,spendPurchase,productRate,priceRate,promoRate,ambianceRate,wifiRate,serviceRate,chooseRate,promoMethodApp,promoMethodSoc,promoMethodEmail,promoMethodDeal,promoMethodFriend,promoMethodDisplay,promoMethodBillboard,promoMethodOthers,loyal,0,1,2,3,4,5,6,7
56,1,1,2,1,2,2,1,1,0,1,1,1,1,1,1,1,4,3,4,3,2,3,4,1,1,1,1,1,1,1,1,0,-0.17473530555929961,-0.9891046276107256,0.25416347115950016,-0.0236506923453604,-0.10342454093431232,0.25764714526753485,-0.029565255888046704,-0.4539712408196431
57,1,1,2,0,3,1,0,1,1,1,1,1,1,1,1,2,5,4,3,4,3,3,3,1,1,1,1,1,1,1,1,0,-0.2613911971211479,-0.12600293737164917,-0.33380189641142793,0.49785126243134853,-0.09613802370911012,0.056166054055664785,0.14112141149433607,-0.36352475628561454
58,0,0,0,0,2,0,1,2,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0,-0.555644329459391,1.310758275933241,0.1510124779586611,-0.5180693393891787,0.007823361892317082,-0.3756908256129158,0.28599056968133674,-0.21578482931395512
59,0,0,0,0,2,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,4,3,3,1,1,1,1,1,1,1,1,0,-0.555644329459391,1.310758275933241,0.1510124779586611,-0.5180693393891787,0.007823361892317082,-0.3756908256129158,0.28599056968133674,-0.21578482931395512
60,1,1,0,0,3,1,0,2,1,1,1,1,1,1,1,1,4,3,4,4,3,4,3,1,1,1,1,1,1,1,1,0,-0.5763114740182099,0.40396537828000967,-0.2482269816264546,0.5247467801158103,-0.12296878566172974,0.15823943651776515,0.14159479989913473,-0.15083270354371828
61,0,1,0,0,3,0,2,1,0,1,1,1,1,1,1,3,2,1,5,1,4,3,3,1,1,1,1,1,1,1,1,0,-0.29363924766989874,0.5253778551538419,0.21095708949902509,-0.3653664195644031,-0.17954246071763072,-0.24994419873550716,0.2393150766175929,0.31167010792429706
62,1,1,2,0,3,1,0,1,1,1,1,1,1,1,1,2,5,4,3,4,3,3,3,1,1,1,1,1,1,1,1,0,-0.2613911971211479,-0.12600293737164917,-0.33380189641142793,0.49785126243134853,-0.09613802370911012,0.056166054055664785,0.14112141149433607,-0.36352475628561454
63,0,2,0,0,3,0,1,2,1,1,1,1,1,1,1,2,3,3,4,3,3,3,3,1,1,1,1,1,1,1,1,0,0.05221123414443378,0.6005572859961236,-0.3702818498443305,-0.6933784969045245,0.25507181557675074,-0.27034091444039976,0.04173297686136068,0.1490642750267475
64,0,1,2,0,3,2,1,0,0,1,1,1,1,1,1,1,4,2,3,5,4,4,5,1,1,1,1,1,1,1,1,0,-0.14919019584898086,-0.22870470227557105,0.03228952901176569,-0.1491019781340641,0.016697158954194297,-0.008808440714294208,-0.4734610961807365,-0.012297067502707561
65,1,1,2,0,3,2,0,2,1,1,1,1,1,1,1,0,3,1,5,3,4,4,5,1,1,1,1,1,1,1,1,1,-0.45497060227386277,-0.49731006898033064,0.062204534261578716,0.12025498137516771,0.1255128776503937,0.22522074523123256,-0.33318988034409397,-0.009092199616344467
